Date,Description,Amount,Transaction Type,Category,Account Name
10/23/2018,Amazon,49.14,debit,Groceries,Platinum Card
10/25/2018,Movie Theater,1.75,debit,Restaurants,Platinum Card
05/21/2018,Grocery Store,174.31,debit,Utilities,Platinum Card
05/05/2018,Chevron,198.59,debit,Gas & Fuel,Platinum Card
04/22/2019,Latin Restaurant,32.42,debit,Restaurants,Checking
06/23/2018,Brunch Restaurant,605.04,debit,Auto Insurance,Platinum Card
07/15/2018,Amazon,93.79,debit,Coffee Shops,Platinum Card
08/15/2018,Netflix,1.75,debit,Food & Dining,Platinum Card
01/04/2019,Credit Card Payment,3313.49,credit,Credit Card Payment,Checking
08/27/2018,Credit Card Payment,2158.93,credit,Credit Card Payment,Checking
01/16/2019,Credit Card Payment,50.41,debit,Credit Card Payment,Checking
11/23/2018,Biweekly Paycheck,936.87,credit,Paycheck,Checking
09/09/2018,Grocery Store,1.75,debit,Fast Food,Platinum Card
04/18/2018,Credit Card Payment,959.57,debit,Credit Card Payment,Checking
01/03/2019,Fancy Restaurant,1.75,debit,Coffee Shops,Checking
07/09/2018,Amazon,1.75,debit,Restaurants,Platinum Card
02/19/2019,Grocery Store,200.77,debit,Utilities,Checking
07/31/2018,Hawaiian Grill,127.6,debit,Restaurants,Platinum Card
03/14/2019,Spotify,198.75,debit,Restaurants,Checking
06/12/2018,Starbucks,1.75,debit,Restaurants,Platinum Card
04/04/2018,Biweekly Paycheck,66.75,debit,Paycheck,Checking
02/03/2018,Chick-Fil-A,1.75,debit,Home Improvement,Platinum Card
03/01/2018,Barbershop,135.57,debit,Utilities,Platinum Card
07/15/2018,Credit Card Payment,780.61,debit,Coffee Shops,Platinum Card
03/18/2019,Brewing Company,194.22,debit,Gas & Fuel,Platinum Card
01/21/2019,Biweekly Paycheck,2229.32,credit,Credit Card Payment,Checking
02/27/2019,Chick-Fil-A,1312.65,debit,Entertainment,Platinum Card
06/22/2018,Starbucks,199.25,debit,Mobile Phone,Platinum Card
05/19/2018,Amazon,158.44,debit,Groceries,Checking
07/09/2019,Mexican Restaurant,151.58,debit,Restaurants,Checking
01/06/2018,Phone Company,53.47,debit,Restaurants,Silver Card
06/26/2018,Credit Card Payment,199.98,debit,Utilities,Platinum Card
06/10/2018,Internet Service Provider,190.71,debit,Restaurants,Platinum Card
06/16/2018,Credit Card Payment,1.75,debit,Credit Card Payment,Platinum Card
06/17/2019,Wendy's,186.46,debit,Mobile Phone,Checking
03/02/2018,Internet Service Provider,837.06,credit,Paycheck,Checking
03/12/2019,Phone Company,1894.28,debit,Restaurants,Checking
04/23/2019,Tiny Deli,197.32,debit,Groceries,Platinum Card
07/05/2019,Credit Card Payment,2231.04,credit,Credit Card Payment,Checking
02/19/2019,Biweekly Paycheck,2991.59,debit,Credit Card Payment,Checking
05/12/2018,Conoco,118.32,debit,Utilities,Silver Card
01/05/2018,Credit Card Payment,3346.84,credit,Credit Card Payment,Checking
09/02/2018,Starbucks,1.75,debit,Shopping,Platinum Card
07/15/2018,Grocery Store,199.87,debit,Movies & DVDs,Platinum Card
01/18/2019,Thai Restaurant,185.7,debit,Coffee Shops,Silver Card
05/19/2018,Amazon,1.75,debit,Restaurants,Platinum Card
12/08/2018,Internet Service Provider,17.67,debit,Internet,Platinum Card
05/13/2019,City Water Charges,1.75,debit,Utilities,Platinum Card
01/18/2019,Grocery Store,52.75,debit,Entertainment,Checking
09/22/2018,Best Buy,164.49,debit,Restaurants,Platinum Card
04/16/2018,Biweekly Paycheck,531.72,debit,Gas & Fuel,Checking
08/15/2018,Grocery Store,43.57,debit,Internet,Platinum Card
07/08/2018,Credit Card Payment,20.94,debit,Restaurants,Platinum Card
05/01/2018,State Farm,134.54,debit,Gas & Fuel,Platinum Card
04/20/2018,Spotify,178.86,debit,Alcohol & Bars,Platinum Card
08/01/2018,Mortgage Payment,1.75,debit,Shopping,Platinum Card
07/01/2019,Barbershop,183.77,debit,Restaurants,Checking
06/17/2019,Biweekly Paycheck,506.1,credit,Paycheck,Checking
01/20/2018,American Tavern,42.83,debit,Utilities,Checking
01/14/2019,Biweekly Paycheck,1.75,credit,Paycheck,Checking
04/21/2018,Brewing Company,196.42,debit,Television,Platinum Card
11/13/2018,Grocery Store,190.22,debit,Groceries,Platinum Card
11/06/2018,Credit Card Payment,150.13,debit,Restaurants,Platinum Card
01/19/2018,Grocery Store,148.3,debit,Groceries,Silver Card
04/27/2018,Hardware Store,87.92,debit,Internet,Silver Card
04/20/2018,Grocery Store,171.98,debit,Fast Food,Silver Card
10/25/2018,Brunch Restaurant,653.2,debit,Gas & Fuel,Silver Card
06/22/2018,Internet Service Provider,1.75,debit,Restaurants,Silver Card
12/07/2018,Thai Restaurant,171.2,debit,Restaurants,Silver Card
01/08/2018,Credit Card Payment,340.43,credit,Paycheck,Platinum Card
04/22/2018,Biweekly Paycheck,1.75,debit,Mortgage & Rent,Checking
04/21/2018,Grocery Store,1.75,debit,Movies & DVDs,Platinum Card
07/18/2019,Fancy Restaurant,2229.07,credit,Paycheck,Checking
05/18/2018,Power Company,157.38,debit,Restaurants,Platinum Card
01/21/2019,Hardware Store,181.93,debit,Paycheck,Checking
12/08/2018,Biweekly Paycheck,2120.63,credit,Paycheck,Checking
06/03/2018,Amazon,1.75,debit,Internet,Platinum Card
05/29/2018,Chick-Fil-A,182.14,debit,Movies & DVDs,Platinum Card
10/17/2018,Grocery Store,198.64,debit,Food & Dining,Silver Card
04/06/2018,Amazon,103.98,debit,Restaurants,Platinum Card
05/06/2019,American Tavern,199.05,debit,Utilities,Platinum Card
07/31/2018,Irish Restaurant,1.75,debit,Coffee Shops,Checking
01/19/2018,Grocery Store,198.68,debit,Gas & Fuel,Silver Card
06/03/2018,Amazon,1.75,debit,Home Improvement,Checking
10/26/2018,Amazon,1.75,debit,Music,Platinum Card
06/27/2018,Biweekly Paycheck,907.23,credit,Credit Card Payment,Checking
07/11/2018,Blue Sky Market,188.56,debit,Groceries,Checking
12/01/2018,Credit Card Payment,989.0,debit,Shopping,Platinum Card
05/03/2018,Barbershop,127.32,debit,Coffee Shops,Platinum Card
07/08/2018,Credit Card Payment,298.12,credit,Credit Card Payment,Checking
01/03/2018,Brunch Restaurant,1.75,debit,Movies & DVDs,Platinum Card
05/02/2018,City Water Charges,191.22,debit,Haircut,Platinum Card
05/09/2018,Grocery Store,174.82,debit,Utilities,Checking
03/08/2018,Credit Card Payment,1.75,debit,Gas & Fuel,Platinum Card
04/19/2019,Credit Card Payment,841.32,debit,Credit Card Payment,Checking
10/28/2018,Grocery Store,152.03,debit,Groceries,Platinum Card
01/05/2018,Best Buy,196.79,debit,Movies & DVDs,Platinum Card
06/27/2018,Amazon,1.75,debit,Groceries,Platinum Card
04/14/2018,Power Company,1110.21,credit,Credit Card Payment,Platinum Card
06/23/2018,Grocery Store,196.42,debit,Groceries,Platinum Card
09/28/2018,Grocery Store,1.75,debit,Restaurants,Platinum Card
03/05/2019,Wendy's,200.39,debit,Restaurants,Silver Card
03/01/2019,Credit Card Payment,1.75,credit,Paycheck,Checking
04/23/2018,Power Company,1.75,debit,Restaurants,Silver Card
05/01/2018,Italian Restaurant,1.75,debit,Restaurants,Platinum Card
10/04/2018,Grocery Store,191.69,debit,Gas & Fuel,Checking
05/18/2018,State Farm,1.75,debit,Restaurants,Platinum Card
04/26/2018,Grocery Store,124.63,debit,Restaurants,Silver Card
10/27/2018,Grocery Store,1.75,debit,Restaurants,Silver Card
01/12/2018,Credit Card Payment,1.75,debit,Paycheck,Platinum Card
05/29/2018,City Water Charges,194.45,debit,Restaurants,Platinum Card
05/06/2018,American Tavern,134.85,debit,Paycheck,Platinum Card
01/31/2019,Credit Card Payment,1413.32,credit,Credit Card Payment,Checking
01/21/2019,Biweekly Paycheck,2754.74,debit,Restaurants,Checking
12/07/2018,Biweekly Paycheck,1.75,credit,Paycheck,Checking
04/21/2018,Credit Card Payment,645.82,debit,Credit Card Payment,Platinum Card
06/04/2018,Barbershop,1.75,debit,Utilities,Platinum Card
07/15/2018,Shell,151.84,debit,Restaurants,Platinum Card
06/03/2018,Biweekly Paycheck,200.77,debit,Paycheck,Checking
01/31/2019,Seafood Restaurant,199.18,debit,Alcohol & Bars,Silver Card
08/27/2018,Internet Service Provider,1.75,debit,Internet,Platinum Card
12/01/2018,Phone Company,197.3,debit,Mobile Phone,Silver Card
01/03/2018,Credit Card Payment,233.19,debit,Credit Card Payment,Platinum Card
06/22/2018,Shell,200.58,debit,Internet,Platinum Card
06/17/2019,Brewing Company,193.74,debit,Food & Dining,Platinum Card
01/05/2018,Circle K,190.91,debit,Groceries,Silver Card
04/06/2018,Phone Company,1.75,debit,Restaurants,Platinum Card
01/03/2019,Chick-Fil-A,198.61,debit,Fast Food,Silver Card
05/01/2018,Grocery Store,189.68,debit,Food & Dining,Silver Card
03/05/2019,Grocery Store,79.09,debit,Restaurants,Platinum Card
05/14/2018,Biweekly Paycheck,3201.14,credit,Credit Card Payment,Checking
01/18/2019,Conoco,980.33,credit,Credit Card Payment,Checking
06/27/2018,Valero,1.75,debit,Coffee Shops,Platinum Card
02/15/2019,Credit Card Payment,838.68,credit,Credit Card Payment,Platinum Card
01/15/2018,Amazon Video,168.4,debit,Entertainment,Silver Card
10/28/2018,Phone Company,1.75,debit,Groceries,Platinum Card
07/08/2018,German Restaurant,19.72,debit,Internet,Silver Card
04/09/2018,Phone Company,199.58,debit,Utilities,Silver Card
03/19/2018,BP,3287.16,debit,Utilities,Checking
12/18/2018,Credit Card Payment,189.81,debit,Internet,Silver Card
06/26/2018,Hardware Store,1.75,debit,Television,Platinum Card
01/18/2019,Amazon,172.0,debit,Utilities,Platinum Card
01/01/2018,Wendy's,157.54,debit,Fast Food,Platinum Card
12/18/2018,Roadside Diner,159.93,debit,Coffee Shops,Silver Card
01/05/2018,Amazon,180.7,debit,Groceries,Checking
05/14/2019,Gas Station,185.99,debit,Mobile Phone,Checking
01/11/2018,Brunch Restaurant,1.75,debit,Utilities,Platinum Card
07/15/2018,Mexican Restaurant,1.75,debit,Restaurants,Platinum Card
01/15/2018,Gas Station,1.75,debit,Restaurants,Platinum Card
09/01/2018,Brewing Company,79.5,debit,Restaurants,Platinum Card
06/09/2019,Shell,1.75,debit,Fast Food,Checking
01/22/2019,Pizza Place,154.03,debit,Paycheck,Checking
04/09/2019,Credit Card Payment,199.06,credit,Credit Card Payment,Checking
05/22/2018,Spotify,101.8,debit,Groceries,Checking
05/05/2018,Exxon,196.75,debit,Shopping,Platinum Card
04/11/2018,Credit Card Payment,976.82,credit,Paycheck,Platinum Card
02/19/2019,City Water Charges,3172.41,credit,Credit Card Payment,Checking
05/13/2019,German Restaurant,144.37,debit,Credit Card Payment,Platinum Card
04/04/2018,Credit Card Payment,1.75,debit,Credit Card Payment,Platinum Card
05/18/2018,Credit Card Payment,1837.57,credit,Credit Card Payment,Checking
08/30/2019,Phone Company,1.75,debit,Gas & Fuel,Platinum Card
04/14/2018,Tiny Deli,105.8,debit,Alcohol & Bars,Silver Card
01/14/2019,Steakhouse,43.94,debit,Utilities,Checking
10/27/2018,Grocery Store,1.75,debit,Coffee Shops,Platinum Card
06/22/2018,City Water Charges,192.29,debit,Internet,Platinum Card
04/30/2019,Amazon,1.75,debit,Music,Platinum Card
09/02/2018,Credit Card Payment,192.18,debit,Gas & Fuel,Platinum Card
05/29/2018,Grocery Store,198.37,debit,Alcohol & Bars,Platinum Card
01/10/2018,Mike's Construction Co.,828.96,debit,Home Improvement,Platinum Card
04/18/2019,Amazon,1.75,debit,Internet,Platinum Card
04/25/2019,Credit Card Payment,187.66,debit,Credit Card Payment,Checking
07/09/2018,Irish Restaurant,184.48,debit,Home Improvement,Silver Card
04/27/2019,Biweekly Paycheck,1.75,debit,Electronics & Software,Silver Card
07/06/2019,Starbucks,196.3,debit,Restaurants,Platinum Card
05/21/2018,Biweekly Paycheck,195.09,debit,Utilities,Silver Card
04/19/2019,Best Buy,1.75,debit,Mobile Phone,Silver Card
03/01/2019,Grocery Store,1.75,debit,Gas & Fuel,Silver Card
06/01/2018,Credit Card Payment,178.1,debit,Credit Card Payment,Silver Card
07/09/2018,Brewing Company,1.75,credit,Credit Card Payment,Platinum Card
11/03/2018,Starbucks,1.75,debit,Groceries,Platinum Card
04/24/2018,Credit Card Payment,141.09,debit,Internet,Platinum Card
10/17/2018,Brewing Company,135.69,debit,Shopping,Platinum Card
05/09/2019,Grocery Store,198.04,debit,Restaurants,Platinum Card
08/20/2018,American Tavern,185.53,debit,Haircut,Platinum Card
06/21/2019,Starbucks,2209.81,debit,Paycheck,Checking
05/14/2018,Credit Card Payment,3003.71,credit,Paycheck,Checking
01/16/2019,Netflix,198.18,debit,Groceries,Platinum Card
10/27/2018,Credit Card Payment,1171.74,credit,Mortgage & Rent,Checking
01/03/2019,Gas Station,3242.6,credit,Paycheck,Checking
09/22/2018,Amazon,5.82,debit,Shopping,Platinum Card
01/12/2018,Brewing Company,155.51,debit,Alcohol & Bars,Silver Card
05/02/2018,Greek Restaurant,199.85,debit,Movies & DVDs,Platinum Card
05/02/2018,Bojangles,634.44,credit,Paycheck,Platinum Card
02/06/2018,Hardware Store,2.78,debit,Coffee Shops,Platinum Card
11/06/2018,Spotify,1.75,credit,Credit Card Payment,Silver Card
09/02/2018,Sheetz,199.39,debit,Electronics & Software,Platinum Card
07/08/2018,Internet Service Provider,92.14,debit,Electronics & Software,Platinum Card
03/15/2019,Credit Card Payment,2573.19,credit,Paycheck,Checking
10/16/2018,Brewing Company,197.67,debit,Restaurants,Platinum Card
06/15/2019,Phone Company,3.81,debit,Restaurants,Platinum Card
11/06/2018,Mexican Restaurant,1.75,debit,Internet,Platinum Card
01/16/2019,Credit Card Payment,196.37,credit,Credit Card Payment,Platinum Card
04/13/2018,Sushi Restaurant,180.4,debit,Shopping,Platinum Card
12/18/2018,BBQ Restaurant,1.75,debit,Restaurants,Platinum Card
01/08/2018,Movie Theater,109.79,debit,Paycheck,Platinum Card
06/21/2019,Conoco,192.98,debit,Restaurants,Platinum Card
07/08/2018,Amazon,1.75,debit,Shopping,Platinum Card
01/16/2019,Biweekly Paycheck,170.01,debit,Television,Platinum Card
07/06/2019,Biweekly Paycheck,3353.35,credit,Paycheck,Checking
11/19/2018,Phone Company,158.76,debit,Restaurants,Silver Card
04/23/2018,Gas Company,105.44,debit,Utilities,Silver Card
01/15/2019,Barbershop,1.75,debit,Fast Food,Checking
05/24/2018,Credit Card Payment,1.75,credit,Credit Card Payment,Checking
03/12/2018,Brewing Company,1.75,debit,Gas & Fuel,Platinum Card
01/03/2019,Phone Company,197.61,debit,Shopping,Platinum Card
01/15/2018,Fancy Restaurant,145.99,debit,Home Improvement,Platinum Card
04/23/2018,Brunch Restaurant,180.67,debit,Music,Platinum Card
05/04/2018,BP,51.28,debit,Restaurants,Platinum Card
04/24/2018,Grocery Store,1.75,debit,Home Improvement,Platinum Card
07/08/2018,Roadside Diner,1.75,debit,Mortgage & Rent,Platinum Card
07/28/2019,Conoco,199.94,debit,Gas & Fuel,Platinum Card
09/22/2018,Amazon,124.45,debit,Gas & Fuel,Checking
05/19/2018,Spotify,89.75,debit,Electronics & Software,Platinum Card
02/07/2018,Best Buy,197.29,debit,Restaurants,Platinum Card
06/12/2018,Valero,44.81,debit,Home Improvement,Platinum Card
05/03/2018,Credit Card Payment,51.19,credit,Groceries,Platinum Card
02/16/2018,Biweekly Paycheck,1.75,debit,Paycheck,Checking
11/02/2018,Grocery Store,1.75,debit,Credit Card Payment,Platinum Card
09/23/2019,Hardware Store,1.75,debit,Restaurants,Silver Card
04/09/2018,Spotify,1.75,debit,Fast Food,Platinum Card
07/05/2019,Starbucks,199.36,debit,Restaurants,Checking
11/08/2018,QuikTrip,95.83,debit,Shopping,Platinum Card
08/01/2018,Grocery Store,190.93,debit,Shopping,Platinum Card
07/15/2018,Credit Card Payment,922.91,credit,Credit Card Payment,Silver Card
06/19/2018,Greek Restaurant,179.57,debit,Groceries,Platinum Card
05/19/2018,Barbershop,89.3,debit,Restaurants,Platinum Card
07/10/2018,American Tavern,127.4,debit,Internet,Platinum Card
07/08/2018,Grocery Store,1.75,debit,Mobile Phone,Platinum Card
07/04/2018,Mexican Restaurant,129.97,debit,Restaurants,Platinum Card
01/02/2018,Pizza Place,1.75,debit,Credit Card Payment,Silver Card
02/16/2019,Brewing Company,198.92,debit,Alcohol & Bars,Platinum Card
04/18/2018,Best Buy,181.58,debit,Restaurants,Platinum Card
06/01/2018,Netflix,1.75,debit,Shopping,Platinum Card
01/05/2018,Biweekly Paycheck,457.84,debit,Gas & Fuel,Checking
01/03/2019,Grocery Store,171.24,debit,Utilities,Checking
04/11/2018,Pizza Place,1.75,debit,Haircut,Checking
08/20/2018,Credit Card Payment,705.97,debit,Restaurants,Checking
12/01/2018,City Water Charges,1.75,debit,Gas & Fuel,Platinum Card
03/14/2019,Amazon,2194.97,credit,Credit Card Payment,Platinum Card
05/02/2019,German Restaurant,171.69,debit,Restaurants,Checking
08/24/2018,City Water Charges,1.75,debit,Restaurants,Platinum Card
05/28/2018,Biweekly Paycheck,3131.19,credit,Credit Card Payment,Checking
01/03/2018,Grocery Store,189.88,debit,Food & Dining,Silver Card
06/27/2018,Biweekly Paycheck,1102.1,debit,Paycheck,Checking
04/04/2018,Credit Card Payment,1624.81,credit,Credit Card Payment,Checking
05/05/2018,Amazon,122.86,debit,Shopping,Platinum Card
02/05/2018,Pizza Place,140.94,debit,Movies & DVDs,Platinum Card
04/02/2018,Shell,1.75,debit,Electronics & Software,Platinum Card
10/31/2018,Grocery Store,168.35,debit,Restaurants,Platinum Card
01/04/2019,Biweekly Paycheck,2461.39,credit,Credit Card Payment,Checking
06/10/2018,Grocery Store,1.75,debit,Shopping,Platinum Card
05/09/2018,American Tavern,1.75,debit,Auto Insurance,Silver Card
11/06/2018,Target,170.96,debit,Restaurants,Platinum Card
07/25/2018,Starbucks,1.75,debit,Utilities,Platinum Card
11/03/2018,Grocery Store,1.75,debit,Mortgage & Rent,Platinum Card
06/26/2018,Amazon,160.53,debit,Restaurants,Checking
05/21/2018,Credit Card Payment,2173.14,debit,Credit Card Payment,Checking
01/16/2019,Conoco,1.75,debit,Restaurants,Platinum Card
01/21/2019,Credit Card Payment,3106.25,debit,Paycheck,Checking
01/24/2019,Tiny Deli,123.52,debit,Shopping,Platinum Card
09/20/2019,Biweekly Paycheck,1063.89,credit,Credit Card Payment,Checking
04/24/2018,Fancy Restaurant,1.75,debit,Credit Card Payment,Platinum Card
07/08/2018,Starbucks,1.75,debit,Groceries,Platinum Card
06/06/2018,Mortgage Payment,189.2,debit,Groceries,Platinum Card
05/21/2018,Internet Service Provider,200.7,debit,Mobile Phone,Platinum Card
11/08/2018,Credit Card Payment,1335.19,credit,Paycheck,Checking
01/24/2018,Hardware Store,75.77,debit,Mortgage & Rent,Platinum Card
04/22/2019,BP,124.08,debit,Utilities,Platinum Card
09/14/2018,Movie Theater,197.9,debit,Groceries,Silver Card
01/03/2019,Chevron,199.28,debit,Restaurants,Checking
03/30/2018,Thai Restaurant,175.76,debit,Utilities,Platinum Card
11/21/2018,Greek Restaurant,2210.15,debit,Gas & Fuel,Platinum Card
01/22/2019,Japanese Restaurant,183.95,debit,Restaurants,Silver Card
05/12/2018,Netflix,1.75,debit,Haircut,Silver Card
01/11/2018,Greek Restaurant,186.43,debit,Groceries,Platinum Card
07/09/2018,New York Deli,104.67,debit,Home Improvement,Platinum Card
03/13/2019,German Restaurant,163.39,debit,Gas & Fuel,Silver Card
11/19/2018,Hardware Store,151.4,debit,Paycheck,Platinum Card
04/16/2019,Credit Card Payment,188.78,credit,Credit Card Payment,Checking
01/24/2019,Power Company,1465.02,debit,Restaurants,Checking
01/06/2018,Hardware Store,178.26,debit,Electronics & Software,Checking
07/08/2018,Irish Restaurant,51.45,debit,Home Improvement,Platinum Card
01/19/2018,Brunch Restaurant,1.75,debit,Restaurants,Platinum Card
05/05/2018,Valero,160.5,debit,Movies & DVDs,Platinum Card
09/01/2018,Best Buy,198.64,debit,Home Improvement,Checking
07/15/2018,Grocery Store,1.75,debit,Alcohol & Bars,Platinum Card
04/20/2018,Shell,199.03,debit,Movies & DVDs,Platinum Card
12/07/2018,Internet Service Provider,198.95,debit,Gas & Fuel,Platinum Card
04/29/2018,Greek Restaurant,192.97,debit,Groceries,Platinum Card
10/10/2018,Grocery Store,131.35,debit,Credit Card Payment,Silver Card
01/21/2019,Credit Card Payment,824.41,credit,Credit Card Payment,Checking
08/27/2018,Valero,1.75,debit,Groceries,Platinum Card
01/14/2019,Grocery Store,3.45,debit,Groceries,Checking
04/27/2018,Food Truck,1.75,debit,Gas & Fuel,Platinum Card
06/27/2018,Biweekly Paycheck,196.18,debit,Utilities,Silver Card
04/06/2018,Brewing Company,138.31,debit,Restaurants,Checking
12/12/2018,Pizza Place,85.8,debit,Restaurants,Silver Card
07/09/2018,Credit Card Payment,2833.92,debit,Restaurants,Checking
07/15/2018,American Tavern,147.2,debit,Fast Food,Platinum Card
06/08/2018,Credit Card Payment,1.75,credit,Credit Card Payment,Platinum Card
03/02/2018,Hardware Store,1.75,debit,Gas & Fuel,Checking
11/23/2018,Amazon,166.33,debit,Gas & Fuel,Silver Card
07/01/2019,Shell,1.75,debit,Groceries,Silver Card
12/18/2018,Bojangles,1842.27,debit,Internet,Checking
06/27/2018,Spotify,97.57,debit,Internet,Silver Card
01/01/2018,Credit Card Payment,1.75,debit,Restaurants,Platinum Card
11/21/2018,Sushi Restaurant,62.64,debit,Restaurants,Silver Card
01/21/2019,Hardware Store,25.45,debit,Music,Checking
03/23/2019,BBQ Restaurant,192.21,debit,Alcohol & Bars,Silver Card
01/05/2019,Biweekly Paycheck,193.89,credit,Restaurants,Checking
06/07/2019,Hardware Store,198.05,debit,Restaurants,Checking
09/27/2019,Barbershop,178.11,debit,Groceries,Silver Card
01/05/2019,BP,2208.87,debit,Television,Platinum Card
07/23/2018,Japanese Restaurant,142.95,debit,Groceries,Platinum Card
06/28/2018,Internet Service Provider,7.0,debit,Restaurants,Platinum Card
05/03/2018,Biweekly Paycheck,200.57,debit,Utilities,Checking
02/07/2019,Circle K,94.43,debit,Utilities,Platinum Card
04/14/2018,American Tavern,1.75,debit,Utilities,Platinum Card
01/19/2018,Movie Theater,176.78,debit,Utilities,Checking
05/18/2018,City Water Charges,168.93,debit,Credit Card Payment,Platinum Card
04/23/2018,Credit Card Payment,199.88,debit,Alcohol & Bars,Platinum Card
09/17/2019,Valero,199.37,debit,Internet,Silver Card
02/13/2019,Greek Restaurant,189.31,debit,Restaurants,Checking
11/20/2018,Grocery Store,119.23,debit,Mortgage & Rent,Platinum Card
08/20/2018,Biweekly Paycheck,2633.41,credit,Paycheck,Checking
02/21/2018,BP,194.94,debit,Restaurants,Checking
05/11/2018,Grocery Store,59.9,debit,Mortgage & Rent,Silver Card
08/15/2018,Shell,9.31,debit,Utilities,Platinum Card
05/27/2019,Shell,187.94,debit,Fast Food,Platinum Card
05/21/2018,Grocery Store,1.75,debit,Restaurants,Silver Card
08/15/2018,Brunch Restaurant,194.32,debit,Gas & Fuel,Checking
01/04/2018,Phone Company,532.99,debit,Coffee Shops,Platinum Card
01/12/2018,Netflix,1.75,debit,Gas & Fuel,Checking
04/18/2019,Hawaiian Grill,162.66,debit,Shopping,Platinum Card
